1605.6,2683.9,565
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
1595.7,2687,570
1591.1,2685.2,587.5
1595.5,2681.6,585
1589.8,2685.1,587.5
1595.2,2678.3,590
1594.5,2680,582.5
1595.4,2677.7,590
1595.1,2678.2,587.5
1594.4,2690.8,572.5
1600,2678.9,582.5
1589.2,2683.5,577.5
1592.6,2675.4,580
1591.7,2674.2,580
1587.3,2673.2,600
1584.3,2675.5,600
1584.7,2673.6,592.5
1583.8,2670.7,595
1583.8,2670.7,590
1583.2,2670.7,585
1582.6,2672.2,580
1582.4,2672.5,580
1582.3,2673.4,572.5
1582.4,2675.1,572.5
1581.9,2677.5,572.5
1582.7,2678.7,572.5
1582.9,2680.7,572.5
1584,2682.6,572.5
1584.8,2685.9,575
1588.8,2689,570
1592.1,2690.4,597.5
1600.7,2689.8,575
1609.8,2681.4,597.5
1613.3,2672.6,570
NaN,NaN,NaN
NaN,NaN,NaN
1611.1,2675.7,570
NaN,NaN,NaN
1611.4,2674.3,570
1609.8,2676.3,565
1609,2675,567.5
1610.2,2674.5,565
1611.2,2673.5,570
NaN,NaN,NaN
1605.8,2671.4,567.5
1610.5,2674.5,567.5
NaN,NaN,NaN
1610,2673.3,565
1610.3,2674.2,565
NaN,NaN,NaN
NaN,NaN,NaN
1608.9,2675.4,567.5
NaN,NaN,NaN
1608.5,2673.6,570
NaN,NaN,NaN
NaN,NaN,NaN
1607.4,2671.6,567.5
1609,2674.2,567.5
NaN,NaN,NaN
1610.4,2673.3,582.5
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
1607.6,2673.1,575
1608.2,2666.5,572.5
