1330.8,308.26,572.5
1329.9,308.93,572.5
1331.6,310.51,572.5
1332.4,311.23,570
1332.8,311.5,570
1332.9,313.15,570
1335.4,315.41,567.5
1335.1,314.43,572.5
1337.2,316.24,567.5
1336.9,317.53,570
1336.5,318.63,570
1337.3,319.6,567.5
1336.3,320.02,567.5
1335.5,320.33,570
1336.2,321.73,565
1336.5,321.28,565
1336.5,321.87,567.5
1336.6,322.76,567.5
1337.2,323.05,567.5
1336.2,322.76,570
1335.7,323.5,567.5
1335.3,325.97,567.5
1336,326.63,567.5
1336.7,327.75,565
1337.2,328.76,565
1336.9,330.04,565
1336.6,331.3,567.5
1335.8,331.32,567.5
1335.5,333.42,567.5
1335.6,333.3,565
1336.7,333.67,565
1338.1,335.42,565
1337.9,336.45,565
1337.8,337.2,565
1338,336.88,565
1338.3,342.78,575
1337.3,338.44,572.5
1338.7,339.76,565
1339.8,345.49,570
1340.1,346.59,567.5
1341,343.53,565
1341.8,347,567.5
