1654.3,2127.9,600.43
1663.8,2111.5,596.18
1677.2,2085.6,600.35
1680.9,2080.2,600.36
1709.2,2062.3,600.43
1730.3,2048.3,600.23
1765,2036.6,600.4
1800.3,2032.1,596.04
1803.8,2031.8,601.22
1819.7,2037.6,594.39
1834.4,2044.4,601.94
1855.9,2055.4,588.55
1869.7,2071.7,584.2
1886,2089.2,578.94
1910.8,2110,587.78
1908.1,2135.1,590.93
1925.9,2157.6,582.04
1911.9,2172.6,583.03
1906.2,2191.6,569.87
1906.1,2213.1,585.1
1876.7,2232.8,597.57
1856.3,2261,582.4
1849.3,2270.3,582.4
1832.3,2268.3,577.04
1808.1,2265.3,574.02
1773.7,2253.2,581.17
1781.5,2246.2,571.25
1768.4,2236.1,599.09
1755.9,2213.4,600.74
1747.3,2195,601.76
1740.9,2164,600.85
1748,2134.9,600.48
1753.2,2117.7,600.23
1769.3,2096.4,600.62
1775.5,2088.2,600.47
1782.7,2076.4,588.38
1792.8,2066.1,585.33
1823.4,2063.1,596.09
1845.5,2058.7,600.83
1860,2057.1,591.29
1881,2061.4,600.81
1907.9,2071.1,601.28
1923.5,2071.9,589.08
1941.1,2088.8,590.6
1961.4,2108.4,585.1
1955.9,2122.5,599.23
1985.1,2145.6,585.46
1973,2156.6,590.76
1974.3,2185.6,584.16
1992,2198.9,584.29
1988.9,2214.9,585.99
